"","titles","prices","years"
"2813","Honda EXL",2400000,"2015"
"2814","Mitsubishi Fortis",980000,"2008"
"2815","Nissan Frontier",5300000,"2015"
"2816","Toyota Corolla",550000,"1992"
"2817","Suzuki vitara",840000,"2005"
"2818",NA,NA,NA
"2819","Subaru G4",1630000,"2012"
"2820","Ford Edge",2550000,"2012"
"2821","Honda Civic",2350000,"2015"
"2822","Honda Ridgeline",1500000,"2008"
"2823","Nissan Bluebird",1350000,"2011"
"2824","Suzuki Ignis",3e+05,"2000"
"2825","Toyota Corolla",1550000,"2011"
"2826","Land DISCOVERY",7400000,"2014"
"2827","Honda Accord",170000,"1989"
"2828","Mazda Demio",860000,"2008"
"2829",NA,NA,NA
"2830","Honda EX",3450000,"2014"
"2831","Suzuki Swift",950000,"2010"
"2832","Toyota Voxy",2200000,"2012"
"2833","Honda Partner",280000,"2003"
"2834","Subaru Legacy",1450000,"2009"
"2835","Subaru legacy",1150000,"2008"
"2836","Toyota RUNX",960000,"2006"
"2837","Toyota Vitz",1520000,"2014"
"2838","Honda Integra",320000,"1992"
"2839","Nissan Xtrail",950000,"2005"
"2840",NA,NA,NA
"2841","Honda Fit",1270000,"2012"
"2842","Toyota S",1600000,"2011"
"2843","Toyota Hiace",2950000,"2014"
"2844","Toyota Toyota",1650,"2003"
"2845","Honda Fit",990000,"2008"
"2846","Toyota Axio",1130000,"2007"
"2847","Honda civic",650000,"2001"
"2848","Honda Stream",7e+05,"2000"
"2849","Volkswagen Caddy",850000,"2012"
"2850","Honda Civic",860000,"2005"
"2851",NA,NA,NA
"2852","Lexus IS250",2990000,"2013"
"2853","Toyota Camry",2e+06,"2012"
"2854","Honda city",20000,"2017"
"2855","Honda Civic",465000,"2004"
"2856","Toyota Hiace",2600000,"2010"
"2857","Honda Fit",1230000,"2012"
"2858","Great Yutong",2e+06,"2005"
"2859","Honda integra",3e+05,"1993"
"2860","Mercedes C250",4200000,"2013"
"2861","Toyota fielder",1100000,"2008"
"2862",NA,NA,NA
"2863","Toyota Camry",2e+05,"1999"
"2864","Mercedes C300",2100000,"2009"
"2865","Nissan Note",1470000,"2014"
"2866","Toyota Wish",2085000,"2012"
"2867","BMW xdrive",6900000,"2015"
"2868","Nissan note",150000,"2012"
"2869","Ford explorer",450000,"2013"
"2870","Ford F150",3e+06,"2010"
"2871","Toyota x",2250000,"2012"
"2872","Toyota kingfish",670000,"2003"
"2873",NA,NA,NA
"2874","Honda Fit",750000,"2007"
"2875","Honda Torneo",560000,"1998"
"2876","Suzuki Swift",1500000,"2014"
"2877","Toyota Premo",1800000,"2012"
"2878","Mitsubishi glx",550000,"2007"
"2879","Suzuki swift",1550000,"2015"
"2880","Mazda Demio",1100000,"2012"
"2881","Mitsubishi Grandis",1050000,"2006"
"2882","Honda Integra",470000,"1998"
"2883","Toyota Hiace",4e+05,"1995"
"2884",NA,NA,NA
"2885","Honda Civic",550000,"1997"
"2886","Toyota 22r",4e+05,"1989"
"2887","Nissan Bluebird",330000,"2001"
"2888","Subaru Legacy",2200000,"2011"
"2889","Mitsubishi galant",80000,"1994"
"2890","Toyota 2",780000,"2004"
"2891","Honda Odyssey",9e+05,"2004"
"2892","BMW X5",2400000,"2006"
"2893","Nissan March",680000,"2008"
"2894","Toyota axio",2e+06,"2013"
"2895",NA,NA,NA
"2896","Mercedes 450",8100000,"2015"
"2897","Nissan note",1e+06,"2012"
"2898","Nissan B13",250000,"1990"
"2899","Nissan PATHFINDER",4800000,"2014"
"2900","Nissan Sedan",280000,"1993"
"2901","Honda integra",180000,"1990"
"2902","Toyota altis",1e+06,"2007"
"2903","Honda Civic",650000,"2002"
"2904","Toyota Altis",890000,"2004"
"2905","Honda accord",1200000,"2007"
"2906",NA,NA,NA
"2907","Toyota Wish",2350000,"2013"
"2908","Suzuki sports",870000,"2006"
"2909","Toyota Prius",1780000,"2012"
"2910","Toyota Axio",1950000,"2014"
"2911","Honda Oddyssey",1700000,"2012"
"2912","Honda civic",1100000,"2005"
"2913","Hyundai sonata",420000,"2003"
"2914","Toyota PLATANA",2e+06,"2013"
"2915","Hyundai sonata",9e+05,"2005"
"2916","Toyota Rav4",4500000,"2016"
"2917",NA,NA,NA
"2918","Honda SI",2250000,"2013"
"2919","Honda Civic",640000,"1996"
"2920","Mercedes C200",2200000,"2006"
"2921","Mazda Demio",790000,"2010"
"2922","Toyota Vellfire",3250000,"2012"
"2923","BMW 320i",3300000,"2014"
"2924","Nissan B13",2e+05,"1992"
"2925","Toyota Allion",1700000,"2012"
"2926","Toyota Passo",565000,"2006"
"2927","Mitsubishi Lancer",2450000,"2016"
"2928",NA,NA,NA
"2929","Lexus rx300",7e+05,"2001"
"2930","Toyota Camry",930000,"2008"
"2931","Nissan Tiida",720000,"2009"
"2932","Volkswagen Amarok",1800000,"2011"
"2933","Mitsubishi LancerCedia",440000,"2001"
"2934","Toyota Probox",1230000,"2013"
"2935","Honda Accord",2500000,"2011"
"2936","Honda Civic",420000,"1996"
"2937","Mitsubishi Sports",830000,"2003"
"2938","Honda Civic",830000,"2004"
"2939",NA,NA,NA
"2940","Toyota Camry",340000,"1996"
"2941","Mitsubishi Lancer",560000,"2006"
"2942","Honda Civic",4e+05,"1997"
"2943","Mitsubishi Lancer",315000,"2002"
"2944","Toyota Probox",1100000,"2012"
"2945","Isuzu Trooper",350000,"1993"
"2946","Toyota wagon",1200000,"2012"
"2947","BMW series",1600000,"2010"
"2948","Honda Civic",2800000,"2016"
"2949","Nissan Tiida",7e+05,"2007"
"2950",NA,NA,NA
"2951","Toyota Fielder",1300000,"2010"
"2952","Toyota Yaris",1e+06,"2009"
"2953","Toyota Box",1e+06,"2013"
"2954","Chrysler 300",3500000,"2012"
"2955","Subaru gt",850000,"2004"
"2956","Nissan lafesta",1150000,"2012"
"2957","Toyota 4",31500000,"2013"
"2958","Lexus 250",2e+06,"2008"
"2959","Mitsubishi Gallant",115000,"1998"
"2960","Mitsubishi Gallant",120000,"1995"
"2961",NA,NA,NA
"2962","Mitsubishi Ralliart",1380000,"2008"
"2963","Toyota Corolla",4e+05,"1996"
"2964","Lexus IS250",2580000,"2008"
"2965","Honda zx",120000,"1993"
"2966","Mitsubishi rvr",450000,"1998"
"2967","Honda CRV",3600000,"2013"
"2968","Toyota Fortuner",6300000,"2015"
"2969","Subaru Legacy",850000,"2006"
"2970","Nissan Serina",260000,"1997"
"2971","Toyota corrola",5e+05,"2002"
"2972",NA,NA,NA
"2973","Nissan Wingroad",440000,"2003"
"2974","Toyota Camry",580000,"2001"
"2975","Honda Accord",1500000,"2007"
"2976","Toyota Wish",1500000,"2010"
"2977","Honda ATL",580000,"2000"
"2978","Honda City",2250000,"2014"
"2979","Toyota altis",795000,"2004"
"2980","Honda Crv",1450,"2006"
"2981","Honda ACCORD",1400000,"2003"
"2982","Suzuki XL7",1200000,"2007"
"2983",NA,NA,NA
"2984","BMW Coupe",4600000,"2016"
"2985","Nissan Lafesta",978000,"2011"
"2986","Toyota Passo",880000,"2012"
"2987","Subaru Exiga",1200000,"2008"
"2988","Mitsubishi Lancer",510000,"2005"
"2989","Toyota Toyota",2150000,"2010"
"2990","Honda Stepwagon",2e+06,"2011"
"2991","Toyota Corona",5e+05,"1999"
"2992","Honda Civic",420000,"1997"
"2993","Mazda Premacy",1200000,"2010"
"2994",NA,NA,NA
"2995","Honda Fit",1380000,"2012"
"2996","Nissan Note",680000,"2007"
"2997","Mazda Demio",750000,"2010"
"2998","Toyota Corolla",680000,"1999"
"2999","Toyota 2",380000,"1997"
"3000","Honda rims",70000,"2000"
"3001","Toyota Starlet",3e+05,"1996"
"3002","Honda Civic",2650000,"2015"
"3003","Nissan WAGAN",890000,"2012"
"3004","Honda Accord",1e+05,"1989"
"3005",NA,NA,NA
"3006","Lexus hs250",3100000,"2010"
"3007","Honda Fit",1250000,"2012"
"3008","Honda Civic",2550000,"2015"
"3009","Honda EX",3600000,"2016"
"3010","Honda Accord",7e+05,"2001"
"3011","Volkswagen passat",715000,"2005"
"3012","Volkswagen passat",2550000,"2013"
"3013","Mitsubishi Cedia",3e+05,"2002"
"3014","Nissan Lafesta",8e+05,"2006"
"3015","Honda Accord",635000,"2001"
"3016",NA,NA,NA
"3017","Toyota isis",1300000,"2011"
"3018","Honda CIVIC",1350000,"2008"
"3019","Toyota FORTUNER",1550000,"2006"
"3020","Toyota Allion",2700000,"2013"
"3021","Nissan Ctvc",6e+05,"2004"
"3022","Toyota Corolla",3300000,"2016"
"3023","Honda Civic",320000,"1997"
"3024","Mitsubishi lancer",380000,"1995"
"3025","Toyota belta",640000,"2006"
"3026","Suzuki Swift",850000,"2010"
"3027",NA,NA,NA
"3028","BMW 435i",6900000,"2014"
"3029","Nissan B13",70000,"1998"
"3030","Toyota Altezza",895000,"2002"
"3031","Toyota hiace",780000,"1999"
"3032","Honda acura",260000,"1990"
"3033","Honda ATL",6e+05,"2001"
"3034","Honda civic",380000,"1993"
"3035","Mazda Premacy",1100000,"2008"
"3036","Toyota Avensis",1e+06,"2008"
"3037","Toyota Avensis",1e+06,"2008"
"3038",NA,NA,NA
"3039","Suzuki Liana",420000,"2004"
"3040","Nissan xTrail",4500000,"2016"
"3041","Honda Insight",850000,"2010"
"3042","Mitsubishi ASX",3400000,"2015"
"3043","Toyota TRD",7200000,"2017"
"3044","Toyota Passo",650000,"2010"
"3045","Toyota Plus",6500,"2014"
"3046","BMW sport",2350000,"2009"
"3047","Infiniti G35",1200000,"2005"
"3048","Subaru Legacy",1e+06,"2008"
"3049",NA,NA,NA
"3050","Honda Civic",3150000,"2016"
"3051","Honda CRV",3300000,"2013"
"3052","Mitsubishi LANCER",480000,"2000"
"3053","Nissan Tiida",770000,"2007"
"3054","Toyota Gracia",410000,"1997"
"3055","Honda Civic",650000,"2001"
"3056","Toyota Wish",1750000,"2011"
"3057","Honda Civic",470000,"1999"
"3058","Toyota Wish",830000,"2006"
"3059","Toyota Corolla",220000,"1989"
"3060",NA,NA,NA
"3061","Nissan Note",1220000,"2012"
"3062","Nissan Note",1300000,"2013"
"3063","Honda Stream",1250000,"2007"
"3064","Honda Crv",1720000,"2007"
"3065","Suzuki Swift",7e+05,"2008"
"3066","Nissan sunny",420000,"2004"
"3067","Nissan Note",1320000,"2014"
"3068","Toyota 2",420000,"1994"
"3069","Audi A6",2700000,"2008"
"3070","Toyota zio",1700000,"2011"
"3071",NA,NA,NA
"3072","Honda Civic",275000,"1994"
"3073","Toyota Camry",1e+06,"2008"
"3074","Toyota 2",4e+05,"1996"
"3075","Toyota Voxy",2300000,"2010"
"3076","Nissan tiida",810000,"2007"
"3077","BMW 328i",3e+06,"2012"
"3078","Honda vehicle",6500,"2005"
"3079","Suzuki SX4",750000,"2010"
"3080","Nissan Xtrail",850000,"2003"
"3081","Audi A7",5200000,"2012"
"3082",NA,NA,NA
"3083","Nissan Note",1150000,"2012"
"3084","Isuzu Mack",1800000,"2003"
"3085","Mitsubishi sport",6e+05,"2001"
"3086","Honda Crv",1240,"2006"
"3087","BMW Series",3450000,"2015"
"3088","Honda HRV",3750000,"2017"
"3089","Honda Touring",3500000,"2016"
"3090","Honda Turbo",3550000,"2017"
"3091","Honda EXL",3850000,"2015"
"3092","Honda EX",5300000,"2017"
"3093",NA,NA,NA
"3094","Suzuki swift",160000,"1994"
"3095","Toyota Premio",2400000,"2012"
"3096","Toyota Caldina",530000,"2002"
"3097","BMW 520i",2800000,"2010"
"3098","Toyota Corona",380000,"1999"
"3099","Toyota 1997",550000,"1997"
"3100","Toyota Corolla",1270000,"2008"
"3101","Honda civic",380000,"1993"
"3102","Toyota ae100",5e+05,"1995"
"3103","Nissan B13",150000,"1990"
"3104",NA,NA,NA
"3105","Toyota Altezza",730000,"2000"
"3106","Honda Civic",950000,"2005"
"3107","Honda FIT",1350000,"2012"
"3108","Honda civic",7e+05,"1998"
"3109","Toyota Liteace",1200000,"2011"
"3110","Mazda Demio",950000,"2010"
"3111","Honda civic",3100000,"2016"
"3112","Toyota sprinter",570000,"1998"
"3113","Subaru Impreza",980000,"2008"
"3114","Toyota Hiace",7e+05,"1999"
"3115",NA,NA,NA
"3116","Hyundai tucson",730000,"2006"
"3117","Acura Rsx",9e+05,"2006"
"3118","Honda wagon",850000,"2002"
"3119","Nissan Sunny",4e+05,"1990"
"3120","Toyota Fielder",1950000,"2012"
"3121","Suzuki Sport",1650000,"2013"
"3122","Volkswagen golf",5e+05,"2002"
"3123","Toyota 250G",2390000,"2011"
"3124","Toyota Harrier",720000,"1998"
"3125","Toyota Allex",840000,"2004"
"3126",NA,NA,NA
"3127","Honda Fit",1850000,"2014"
"3128","Toyota Corolla",4e+05,"1996"
"3129","Nissan Sunny",250000,"1994"
"3130","Nissan Teana",1350000,"2007"
"3131","Lexus Is250",1600000,"2006"
"3132","Nissan Wagon",830000,"2012"
"3133","Nissan Teana",2e+06,"2012"
"3134","Honda EX",2100000,"2013"
"3135","Suzuki Swift",1900000,"2013"
"3136","Mercedes A180",1800000,"2011"
"3137",NA,NA,NA
"3138","Nissan Serena",1650000,"2011"
"3139","Isuzu TRUCK",3e+06,"2006"
"3140","Toyota Corolla",830000,"2003"
"3141","Toyota WISH",950000,"2004"
"3142","Toyota Hiace",850000,"1999"
"3143","Nissan NOTE",1e+06,"2011"
"3144","Suzuki swift",780000,"2008"
"3145","Mercedes Kompressor",9e+05,"2006"
"3146","Honda CRV",5800000,"2017"
"3147","Honda CRV",4500000,"2015"
"3148",NA,NA,NA
"3149","Nissan Skyline",7e+05,"2004"
"3150","Honda Integra",330000,"1994"
"3151","Honda crv",4e+06,"2015"
"3152","Mercedes Sprinter",1400000,"2008"
"3153","Subaru Legacy",1150000,"2007"
"3154","Honda Accord",550000,"1997"
"3155","Honda Civic",140000,"1988"
"3156","Subaru BE5",550000,"1999"
"3157","Nissan wagon",950000,"2012"
"3158","Honda fit",1080000,"2010"
"3159",NA,NA,NA
"3160","Honda INSIGHT",1270000,"2013"
"3161","Subaru WRX",1e+06,"2004"
"3162","Toyota Levin",350000,"1992"
"3163","Volkswagen jetta",1500000,"2012"
"3164","Daihatsu Mira",530000,"2009"
"3165","Honda Civic",2200000,"2013"
"3166","BMW 328i",3700000,"2013"
"3167","Toyota Corolla",850000,"2001"
"3168","Toyota oldschool",2e+05,"1990"
"3169","Toyota camry",380000,"1996"
"3170",NA,NA,NA
"3171","Honda civic",980000,"2005"
"3172","Nissan ad",895000,"2012"
"3173","Honda Fit",1950000,"2015"
"3174","Nissan Urvan",950000,"2006"
"3175","Toyota Camry",280000,"1993"
"3176","Honda CRV",850000,"2001"
"3177","Toyota S",2600000,"2015"
"3178","Subaru Ts",4e+06,"2011"
"3179","Mitsubishi Lancer",360000,"2000"
"3180","BMW X3",3800000,"2012"
"3181",NA,NA,NA
"3182","Mitsubishi Grandis",1050000,"2005"
"3183","Mitsubishi io",450000,"2000"
"3184","Toyota tundra",1e+06,"2000"
"3185","Kia Optima",2300000,"2012"
"3186","Honda Stream",1340000,"2009"
"3187","Nissan March",850000,"2012"
"3188","Honda Stream",1500000,"2009"
"3189","Toyota Hiace",550000,"1996"
"3190","Nissan Xtrail",785000,"2005"
"3191","Audi A4",635000,"1996"
"3192",NA,NA,NA
"3193","Toyota 2",475000,"1997"
"3194","Honda civic",2e+06,"2014"
"3195","Nissan lafesta",780000,"2009"
"3196","Toyota Carolla",420000,"1995"
"3197","Toyota Rav4",870000,"2001"
"3198","Nissan Versa",1800000,"2014"
"3199","Honda stream",1300000,"2006"
"3200","Honda civic",550000,"1996"
"3201","Toyota corolla",390000,"2000"
"3202","Toyota X",8e+05,"2001"
"3203",NA,NA,NA
"3204","Nissan AD",890000,"2012"
"3205","Toyota Mark2",650000,"2002"
"3206","Honda Fit",650000,"2006"
"3207","Honda City",1550000,"2012"
"3208","Toyota Carolla",380000,"2002"
"3209","Subaru Impreza",1350000,"2011"
"3210","Audi A5",2950000,"2011"
"3211","Mitsubishi Turbo",675000,"2002"
"3212","Subaru Impreza",1530000,"2013"
"3213","Toyota z",2350000,"2012"
"3214",NA,NA,NA
"3215","Toyota Tacoma",6300000,"2016"
"3216","Toyota 110",560000,"1995"
"3217","Honda CRV",2750000,"2011"
"3218","Hyundai Coupe",5e+05,"2004"
"3219","Nissan tiida",850000,"2011"
"3220","Nissan sunny",2e+05,"1990"
"3221","Hyundai Sonata",380000,"2004"
"3222","Subaru Legacy",2500000,"2014"
"3223","Nissan Sunny",350000,"1997"
"3224","Nissan Note",9e+05,"2011"
"3225",NA,NA,NA
"3226","Mazda demio",850000,"2011"
"3227","Toyota runx",750000,"2004"
"3228","Honda Civic",680000,"2001"
"3229","Toyota 4L",8e+05,"2001"
"3230","Honda Civic",3500000,"2016"
"3231","Toyota Wish",2e+06,"2012"
"3232","BMW x3",2200,"2006"
"3233","Nissan Serena",350000,"1997"
"3234","Honda Civic",2600000,"2015"
"3235","Nissan Xtrail",7e+05,"2002"
"3236",NA,NA,NA
"3237","Pontiac am",3e+05,"1989"
"3238","Honda Fit",1150000,"2012"
"3239","Yamaha Bike",5e+05,"2006"
"3240","Subaru Impreza",1100000,"2010"
"3241","Toyota Crown",3200000,"2012"
"3242","Honda Acura",980000,"2005"
"3243","Suzuki Vitara",3370000,"2016"
"3244","Mazda Demio",1050000,"2012"
"3245","Honda Civic",2200000,"2015"
"3246","Nissan Teana",1800000,"2011"
"3247",NA,NA,NA
"3248","Volkswagen Jetta",3e+06,"2016"
"3249","Honda Civic",630000,"2002"
"3250","Mazda 323",150000,"1990"
"3251","Suzuki Alto",75000,"1992"
"3252","Toyota Yaris",2200000,"2014"
"3253","Honda Civic",2250000,"2014"
"3254","Honda Civic",670000,"2002"
"3255","Honda Odyssey",9e+05,"2008"
"3256","Nissan Wagon",1e+06,"2012"
"3257","Nissan Note",1430000,"2013"
"3258",NA,NA,NA
"3259","Honda Stream",630000,"2002"
"3260","Honda Fit",690000,"2003"
"3261","Honda Fit",650000,"2004"
"3262","Toyota Corolla",450000,"1993"
"3263","Jeep Cherokee",6500000,"2011"
"3264","Nissan latio",1270000,"2012"
"3265","Toyota isis",1760000,"2012"
"3266","Honda fit",6e+05,"2004"
"3267","Toyota Belta",1355000,"2011"
"3268","Toyota x",1790000,"2010"
"3269",NA,NA,NA
"3270","Toyota Axio",2100000,"2014"
"3271","Honda Civic",2400000,"2015"
"3272","Honda Fit",1300000,"2012"
"3273","Honda Stepwagon",1830000,"2010"
"3274","Honda Accord",1200000,"2006"
"3275","Toyota Starlet",190000,"1993"
"3276","Nissan qr20de",140000,"2003"
"3277","Nissan Pulsar",210000,"1995"
"3278","Toyota Tacoma",1550000,"2005"
"3279","Toyota hiace",850000,"2003"
"3280",NA,NA,NA
"3281","Honda civic",750000,"2001"
"3282","Toyota 2",350000,"1993"
"3283","Toyota shape",550000,"1994"
"3284","Toyota HIACE",4e+05,"1997"
"3285","Honda CRV",2700000,"2011"
"3286","Nissan Lafesta",850000,"2009"
"3287","Nissan Wingroad",1150000,"2012"
"3288","Mitsubishi Van",750000,"2012"
"3289","Nissan bluebird",220000,"1993"
"3290","Mercedes C200",1750000,"2007"
"3291",NA,NA,NA
"3292","Nissan Bluebird",390000,"1998"
"3293","Toyota G",2260000,"2013"
"3294","Honda Integra",440000,"1998"
"3295","Mitsubishi Lancer",380000,"1998"
"3296","Honda R",1360000,"2005"
"3297","Mitsubishi Lancer",850000,"2008"
"3298","Toyota Passo",580000,"2007"
"3299","Isuzu NPR",3700000,"2012"
"3300","Nissan Presage",1100000,"2007"
"3301","Honda HrV",3500000,"2016"
"3302",NA,NA,NA
"3303","Honda HRV",3600000,"2016"
"3304","Honda civic",3e+06,"2016"
"3305","Honda civic",3650000,"2017"
"3306","Suzuki Swift",735000,"2007"
"3307","Nissan Serena",365000,"1997"
"3308","Toyota Alphard",2100000,"2008"
"3309","Honda fitstreamvezel",7000,"2015"
"3310","Mitsubishi Galant",450000,"1997"
"3311","Suzuki swift",850000,"2009"
"3312","BMW 330I",2500000,"2008"
"3313",NA,NA,NA
"3314","BMW Drive",3900000,"2013"
"3315","Honda ATL",1100000,"2007"
"3316","Toyota Neg",60000,"2000"
"3317","BMW X3",4500000,"2013"
"3318","Honda FIt",660000,"2003"
"3319","Toyota up",5e+05,"1992"
"3320","Toyota kingfish",1000,"2006"
"3321","Mitsubishi wagon",550000,"2001"
"3322","Toyota Zio",1500000,"2010"
"3323","Suzuki SX4",869000,"2011"
"3324",NA,NA,NA
"3325","Nissan AD",860000,"2012"
"3326","BMW x5",9e+06,"2016"
"3327","Nissan Caravan",9e+05,"2009"
"3328","Toyota 2",420000,"1997"
"3329","Toyota Vios",730000,"2003"
"3330","Chevrolet Silverado",1550000,"2001"
"3331","Acura Rust",345670,"2016"
"3332","Toyota Townace",140000,"1995"
"3333","Toyota AE110",470000,"1995"
"3334","Toyota Wish",1650000,"2010"
"3335",NA,NA,NA
"3336","Mitsubishi lancer",2500000,"2013"
"3337","Toyota Prado",7e+06,"2014"
"3338","Audi Q7",9700000,"2016"
"3339","Nissan Excimo",220000,"1994"
"3340","Nissan WAGON",680000,"2006"
"3341","Nissan Tiida",810000,"2009"
"3342","Toyota Picnic",5e+05,"2000"
"3343","Toyota Passo",995000,"2012"
"3344","Honda EXL",2700000,"2013"
"3345","Honda Civic",1330000,"2007"
"3346",NA,NA,NA
"3347","Mitsubishi Mirage",985000,"2012"
"3348","Honda Fit",745000,"2007"
"3349","Nissan Note",1160000,"2012"
"3350","Toyota Passo",7e+05,"2010"
"3351","Honda CRV",2950000,"2012"
"3352","Honda CRV",2490000,"2010"
"3353","Honda Civic",780000,"2003"
"3354","Honda FIT",1300000,"2012"
"3355","Toyota AXIO",1900000,"2013"
"3356","Nissan wingroad",1e+06,"2012"
"3357",NA,NA,NA
"3358","Honda Civic",420000,"1996"
"3359","Toyota vitz",1e+06,"2011"
"3360","Mazda Axela",7e+05,"2009"
"3361","Suzuki XL7",7e+05,"2006"
"3362","Nissan NOTE",1050000,"2012"
"3363","Toyota Isis",1650000,"2012"
"3364","Subaru B4",850000,"2005"
"3365","Nissan Teana",1850000,"2012"
"3366","Nissan Tiida",1250000,"2012"
"3367","Toyota Ipsum",7e+05,"2001"
"3368",NA,NA,NA
"3369","Honda Stream",1800000,"2011"
"3370","Mitsubishi Pajero",770000,"2001"
"3371","Mazda Premacy",570000,"2006"
"3372","Toyota X",2200000,"2012"
"3373","Toyota Camry",450000,"1995"
"3374","Honda Accord",360000,"1995"
"3375","Toyota Vitz",820000,"2009"
"3376","Nissan Teana",1950000,"2012"
"3377","Honda Accord",6e+05,"1998"
"3378","Toyota corsa",180000,"1994"
"3379",NA,NA,NA
"3380","Nissan Sunny",430000,"2004"
"3381","Toyota 4",3300000,"2014"
"3382","Nissan March",8e+05,"2012"
"3383","Honda Civic",760000,"2003"
"3384","Nissan Serena",1350000,"2004"
"3385","Toyota SUCEED",85000,"2018"
"3386","BMW 320i",2250000,"2011"
"3387","Subaru Impreza",2400000,"2014"
"3388","Toyota 110",450000,"1996"
"3389","Honda R",1400000,"2006"
"3390",NA,NA,NA
"3391","Honda Integra",730000,"2001"
"3392","Mini Cooper",9e+05,"2003"
"3393","BMW 525i",1400000,"2005"
"3394","BMW 335i",4200000,"2012"
"3395","Suzuki Vitara",1350000,"2008"
"3396","Honda Fit",565000,"2003"
"3397","Suzuki Solio",1410000,"2013"
"3398","Suzuki Alto",1200000,"2013"
"3399","Daihatsu Van",1270000,"2013"
"3400","Mazda Van",1420000,"2013"
"3401",NA,NA,NA
"3402","Honda Fit",1290000,"2012"
"3403","Subaru Impreza",1790000,"2012"
"3404","Toyota Prado",1690000,"2006"
"3405","Suzuki Swift",1680000,"2012"
"3406","Mazda Demio",420000,"2002"
"3407","Nissan Bluebird",295000,"2000"
"3408","Toyota Aqua",1690000,"2013"
"3409","Toyota Ractis",1700000,"2013"
"3410","Nissan Latio",1760000,"2013"
"3411","Suzuki Alto",1320000,"2013"
"3412",NA,NA,NA
"3413","Nissan Wingroad",1840000,"2014"
"3414","Nissan March",1500000,"2014"
"3415","Nissan March",1620000,"2015"
"3416","Suzuki Swift",1750000,"2015"
"3417","Suzuki Swift",1790000,"2015"
"3418","Toyota premio",1550000,"2008"
"3419","Nissan Cube",1390000,"2013"
"3420","Daihatsu E5",695000,"2012"
"3421","Mitsubishi Grandis",695000,"2000"
"3422","Toyota 4",3250000,"2013"
"3423",NA,NA,NA
"3424","Audi Quattro",6900000,"2016"
"3425","Toyota Probox",1150000,"2012"
"3426","Peugot XS",1600000,"2012"
"3427","Mitsubishi Van",780000,"2011"
"3428","Nissan AD",870000,"2012"
"3429","Toyota fielder",1350000,"2011"
"3430","Toyota Vista",450000,"2001"
"3431","Honda Civic",620000,"1998"
"3432","Honda Partner",280000,"2001"
"3433","Toyota school",150000,"1989"
"3434",NA,NA,NA
"3435","Subaru GT",1690000,"2008"
"3436","Toyota Tacoma",3800000,"2012"
"3437","Honda accord",950000,"2004"
"3438","Honda FIT",975000,"2009"
"3439","Honda Civic",3200000,"2016"
"3440","Honda Fit",1900000,"2014"
"3441","Suzuki Escudo",2200000,"2010"
"3442","Nissan Lafesta",780000,"2008"
"3443","Toyota Corolla",1800000,"2012"
"3444","Subaru Impreza",1385000,"2010"
"3445",NA,NA,NA
"3446","Nissan Teana",2500000,"2012"
"3447","Suzuki swift",8e+05,"2009"
"3448","Toyota Corollaflatty",190000,"1990"
"3449","Honda Civic",1200000,"2007"
"3450","Toyota 4",3200000,"2014"
"3451","Toyota Corolla",1264480,"2013"
"3452","Toyota Yaris",1644025,"2017"
"3453","Honda Civic",570000,"1999"
"3454","Toyota Fielder",1400000,"2007"
"3455","Toyota x",2100000,"2010"
"3456",NA,NA,NA
"3457","Toyota Starlet",350000,"1993"
"3458","Honda Stream",1050000,"2006"
"3459","Honda cl7",960000,"2002"
"3460","Honda Insight",850000,"2009"
"3461","Subaru G4",1900000,"2012"
"3462","Toyota Camry",850000,"2003"
"3463","Nissan S",3e+06,"2016"
"3464","Toyota Vitz",1400000,"2012"
"3465","Nissan b15",310000,"2001"
"3466","Mazda Demio",1150000,"2012"
"3467",NA,NA,NA
"3468","Toyota Corolla",480000,"1993"
"3469","Honda Integra",580000,"2000"
"3470","Honda Crv",5600000,"2017"
"3471","Honda Accord",3200000,"2015"
"3472","Toyota Hiace",5e+05,"1997"
"3473","Honda Civic",1400000,"2009"
"3474","Toyota Wish",2250000,"2012"
"3475","Suzuki Liana",390000,"2003"
"3476","Toyota Corolla",580000,"1997"
"3477","Toyota Hybrid",1e+06,"2008"
"3478",NA,NA,NA
"3479","Nissan Tiida",7e+05,"2007"
"3480","Nissan Note",1375000,"2012"
"3481","Honda CRV",5100000,"2017"
"3482","Toyota Voxy",2150000,"2012"
"3483","Toyota Isis",1350000,"2010"
"3484","Toyota vOXY",2700000,"2013"
"3485","Honda SALE",10000,"2002"
"3486","Nissan 4x4",2900000,"2012"
"3487","Nissan WAGON",870000,"2012"
"3488","Honda Accord",660000,"1998"
"3489",NA,NA,NA
"3490","Nissan Cube",670000,"2011"
"3491","Honda Odyssey",1600000,"2008"
"3492","Toyota Tercel",1e+05,"1988"
"3493","Toyota Vitz",660000,"2006"
"3494","Honda Acura",280000,"1990"
"3495","Nissan Skyline",745000,"2005"
"3496","Suzuki Vitara",3550000,"2016"
"3497","Toyota Vitz",1300000,"2012"
"3498","Toyota ZS",2500000,"2011"
"3499","Mitsubishi Gallant",250000,"1995"
"3500",NA,NA,NA
"3501","Honda Accord",790000,"2003"
"3502","Hyundai Tucson",2400000,"2011"
"3503","Honda Odessey",1550000,"2000"
"3504","Honda Civic",7e+05,"1999"
"3505","Honda Inspire",2900000,"2012"
"3506","Mazda van",850000,"2012"
